"time","OP"
1.08,0.02
1.082,0.022
1.084,0.024
1.086,0.026
1.088,0.028
1.09,0.03
1.092,0.032
1.094,0.034
1.096,0.036
1.098,0.038
1.1,0.04
1.1,0.02
1.102,0.022
1.104,0.024
1.106,0.026
1.108,0.028
1.11,0.03
1.112,0.032
1.114,0.034
1.116,0.036
1.118,0.038
1.12,0.04
1.12,0.02
1.122,0.022
1.124,0.024
1.126,0.026
1.128,0.028
1.13,0.03
1.132,0.032
1.134,0.034
1.136,0.036
1.138,0.038
1.14,0.04
1.14,0.02
1.142,0.022
1.144,0.024
1.146,0.026
1.148,0.028
1.15,0.03
1.152,0.032
1.154,0.034
1.156,0.036
1.158,0.038
1.16,0.04
1.16,0.02
1.162,0.022
1.164,0.024
1.166,0.026
1.168,0.028
1.17,0.03
1.172,0.032
1.174,0.034
1.176,0.036
1.178,0.038
1.18,0.04
1.18,0.02
1.182,0.022
1.184,0.024
1.186,0.026
1.188,0.028
1.19,0.03
1.192,0.032
1.194,0.034
1.196,0.036
1.198,0.038
1.2,0.04
1.2,0.02
1.202,0.022
1.204,0.024
1.206,0.026
1.208,0.028
1.21,0.03
1.212,0.032
1.214,0.034
1.216,0.036
1.218,0.038
1.22,0.04
1.22,0.02
1.222,0.022
1.224,0.024
1.226,0.026
1.228,0.028
1.23,0.03
1.232,0.032
1.234,0.034
1.236,0.036
1.238,0.038
1.24,0.04
1.24,0.02
1.242,0.022
1.244,0.024
1.246,0.026
1.248,0.028
1.25,0.03
1.252,0.032
1.254,0.034
1.256,0.036
1.258,0.038
1.26,0.04
1.26,0.02
1.262,0.022
1.264,0.024
1.266,0.026
1.268,0.028
1.27,0.03
1.272,0.032
1.274,0.034
1.276,0.036
1.278,0.038
1.28,0.04
1.28,0.02
1.282,0.022
1.284,0.024
1.286,0.026
1.288,0.028
1.29,0.03
1.292,0.032
1.294,0.034
1.296,0.036
1.298,0.038
1.3,0.04
1.3,0.02
1.302,0.022
1.304,0.024
1.306,0.026
1.308,0.028
1.31,0.03
1.312,0.032
1.314,0.034
1.316,0.036
1.318,0.038
1.32,0.04
1.32,0.02
1.322,0.022
1.324,0.024
1.326,0.026
1.328,0.028
1.33,0.03
1.332,0.032
1.334,0.034
1.336,0.036
1.338,0.038
1.34,0.04
1.34,0.02
1.342,0.022
1.344,0.024
1.346,0.026
1.348,0.028
1.35,0.03
1.352,0.032
1.354,0.034
1.356,0.036
1.358,0.038
1.36,0.04
1.36,0.02
1.362,0.022
1.364,0.024
1.366,0.026
1.368,0.028
1.37,0.03
1.372,0.032
1.374,0.034
1.376,0.036
1.378,0.038
1.38,0.04
1.38,0.02
1.382,0.022
1.384,0.024
1.386,0.026
1.388,0.028
1.39,0.03
1.392,0.032
1.394,0.034
1.396,0.036
1.398,0.038
1.4,0.04
1.4,0.02
1.402,0.022
1.404,0.024
1.406,0.026
1.408,0.028
1.41,0.03
1.412,0.032
1.414,0.034
1.416,0.036
1.418,0.038
1.42,0.04
1.42,0.02
1.422,0.022
1.424,0.024
1.426,0.026
1.428,0.028
1.43,0.03
1.432,0.032
1.434,0.034
1.436,0.036
1.438,0.038
1.44,0.04
1.44,0.02
1.442,0.022
1.444,0.024
1.446,0.026
1.448,0.028
1.45,0.03
1.452,0.032
1.454,0.034
1.456,0.036
1.458,0.038
1.46,0.04
1.46,0.02
1.462,0.022
1.464,0.024
1.466,0.026
1.468,0.028
1.47,0.03
1.472,0.032
1.474,0.034
1.476,0.036
1.478,0.038
1.48,0.04
1.48,0.02
1.482,0.022
1.484,0.024
1.486,0.026
1.488,0.028
1.49,0.03
1.492,0.032
1.494,0.034
1.496,0.036
1.498,0.038
1.5,0.04
1.5,0.02
1.502,0.022
1.504,0.024
1.506,0.026
1.508,0.028
1.51,0.03
1.512,0.032
1.514,0.034
1.516,0.036
1.518,0.038
1.52,0.04
1.52,0.02
1.522,0.022
1.524,0.024
1.526,0.026
1.528,0.028
1.53,0.03
1.532,0.032
1.534,0.034
1.536,0.036
1.538,0.038
1.54,0.04
1.54,0.02
1.542,0.022
1.544,0.024
1.546,0.026
1.548,0.028
1.55,0.03
1.552,0.032
1.554,0.034
1.556,0.036
1.558,0.038
1.56,0.04
1.56,0.02
1.562,0.022
1.564,0.024
1.566,0.026
1.568,0.028
1.57,0.03
1.572,0.032
1.574,0.034
1.576,0.036
1.578,0.038
1.58,0.04
1.58,0.02
1.582,0.022
1.584,0.024
1.586,0.026
1.588,0.028
1.59,0.03
1.592,0.032
1.594,0.034
1.596,0.036
1.598,0.038
1.6,0.04
1.6,0.02
1.602,0.022
1.604,0.024
1.606,0.026
1.608,0.028
1.61,0.03
1.612,0.032
1.614,0.034
1.616,0.036
1.618,0.038
1.62,0.04
1.62,0.02
1.622,0.022
1.624,0.024
1.626,0.026
1.628,0.028
1.63,0.03
1.632,0.032
1.634,0.034
1.636,0.036
1.638,0.038
1.64,0.04
1.64,0.02
1.642,0.022
1.644,0.024
1.646,0.026
1.648,0.028
1.65,0.03
1.652,0.032
1.654,0.034
1.656,0.036
1.658,0.038
1.66,0.04
1.66,0.02
1.662,0.022
1.664,0.024
1.666,0.026
1.668,0.028
1.67,0.03
1.672,0.032
1.674,0.034
1.676,0.036
1.678,0.038
1.68,0.04
1.68,0.02
1.682,0.022
1.684,0.024
1.686,0.026
1.688,0.028
1.69,0.03
1.692,0.032
1.694,0.034
1.696,0.036
1.698,0.038
1.7,0.04
1.7,0.02
1.702,0.022
1.704,0.024
1.706,0.026
1.708,0.028
1.71,0.03
1.712,0.032
1.714,0.034
1.716,0.036
1.718,0.038
1.72,0.04
1.72,0.02
1.722,0.022
1.724,0.024
1.726,0.026
1.728,0.028
1.73,0.03
1.732,0.032
1.734,0.034
1.736,0.036
1.738,0.038
1.74,0.04
1.74,0.02
1.742,0.022
1.744,0.024
1.746,0.026
1.748,0.028
1.75,0.03
1.752,0.032
1.754,0.034
1.756,0.036
1.758,0.038
1.76,0.04
1.76,0.02
1.762,0.022
1.764,0.024
1.766,0.026
1.768,0.028
1.77,0.03
1.772,0.032
1.774,0.034
1.776,0.036
1.778,0.038
1.78,0.04
1.78,0.02
1.782,0.022
1.784,0.024
1.786,0.026
1.788,0.028
1.79,0.03
1.792,0.032
1.794,0.034
1.796,0.036
1.798,0.038
1.8,0.04
1.8,0.02
1.802,0.022
1.804,0.024
1.806,0.026
1.808,0.028
1.81,0.03
1.812,0.032
1.814,0.034
1.816,0.036
1.818,0.038
1.82,0.04
1.82,0.02
1.822,0.022
1.824,0.024
1.826,0.026
1.828,0.028
1.83,0.03
1.832,0.032
1.834,0.034
1.836,0.036
1.838,0.038
1.84,0.04
1.84,0.02
1.842,0.022
1.844,0.024
1.846,0.026
1.848,0.028
1.85,0.03
1.852,0.032
1.854,0.034
1.856,0.036
1.858,0.038
1.86,0.04
1.86,0.02
1.862,0.022
1.864,0.024
1.866,0.026
1.868,0.028
1.87,0.03
1.872,0.032
1.874,0.034
1.876,0.036
1.878,0.038
1.88,0.04
1.88,0.02
1.882,0.022
1.884,0.024
1.886,0.026
1.888,0.028
1.89,0.03
1.892,0.032
1.894,0.034
1.896,0.036
1.898,0.038
1.9,0.04
1.9,0.02
1.902,0.022
1.904,0.024
1.906,0.026
1.908,0.028
1.91,0.03
1.912,0.032
1.914,0.034
1.916,0.036
1.918,0.038
1.92,0.04
1.92,0.02
1.922,0.022
1.924,0.024
1.926,0.026
1.928,0.028
1.93,0.03
1.932,0.032
