"time","OP"
1.25,0.05
1.252,0.052
1.254,0.054
1.256,0.056
1.258,0.058
1.26,0.06
1.262,0.062
1.264,0.064
1.266,0.066
1.268,0.068
1.27,0.07
1.272,0.072
1.274,0.074
1.276,0.076
1.278,0.078
1.28,0.08
1.28,0.04
1.282,0.042
1.284,0.044
1.286,0.046
1.288,0.048
1.29,0.05
1.292,0.052
1.294,0.054
1.296,0.056
1.298,0.058
1.3,0.06
1.302,0.062
1.304,0.064
1.306,0.066
1.308,0.068
1.31,0.07
1.312,0.072
1.314,0.074
1.316,0.076
1.318,0.078
1.32,0.08
1.32,0.04
1.322,0.042
1.324,0.044
1.326,0.046
1.328,0.048
1.33,0.05
1.332,0.052
1.334,0.054
1.336,0.056
1.338,0.058
1.34,0.06
1.342,0.062
1.344,0.064
1.346,0.066
1.348,0.068
1.35,0.07
1.352,0.072
1.354,0.074
1.356,0.076
1.358,0.078
1.36,0.08
1.36,0.04
1.362,0.042
1.364,0.044
1.366,0.046
1.368,0.048
1.37,0.05
1.372,0.052
1.374,0.054
1.376,0.056
1.378,0.058
1.38,0.06
1.382,0.062
1.384,0.064
1.386,0.066
1.388,0.068
1.39,0.07
1.392,0.072
1.394,0.074
1.396,0.076
1.398,0.078
1.4,0.08
1.4,0.04
1.402,0.042
1.404,0.044
1.406,0.046
1.408,0.048
1.41,0.05
1.412,0.052
1.414,0.054
1.416,0.056
1.418,0.058
1.42,0.06
1.422,0.062
1.424,0.064
1.426,0.066
1.428,0.068
1.43,0.07
1.432,0.072
1.434,0.074
1.436,0.076
1.438,0.078
1.44,0.08
1.44,0.04
1.442,0.042
1.444,0.044
1.446,0.046
1.448,0.048
1.45,0.05
1.452,0.052
1.454,0.054
1.456,0.056
1.458,0.058
1.46,0.06
1.462,0.062
1.464,0.064
1.466,0.066
1.468,0.068
1.47,0.07
1.472,0.072
1.474,0.074
1.476,0.076
1.478,0.078
1.48,0.08
1.48,0.04
1.482,0.042
1.484,0.044
1.486,0.046
1.488,0.048
1.49,0.05
1.492,0.052
1.494,0.054
1.496,0.056
1.498,0.058
1.5,0.06
1.502,0.062
1.504,0.064
1.506,0.066
1.508,0.068
1.51,0.07
1.512,0.072
1.514,0.074
1.516,0.076
1.518,0.078
1.52,0.08
1.52,0.04
1.522,0.042
1.524,0.044
1.526,0.046
1.528,0.048
1.53,0.05
1.532,0.052
1.534,0.054
1.536,0.056
1.538,0.058
1.54,0.06
1.542,0.062
1.544,0.064
1.546,0.066
1.548,0.068
1.55,0.07
1.552,0.072
1.554,0.074
1.556,0.076
1.558,0.078
1.56,0.08
1.56,0.04
1.562,0.042
1.564,0.044
1.566,0.046
1.568,0.048
1.57,0.05
1.572,0.052
1.574,0.054
1.576,0.056
1.578,0.058
1.58,0.06
1.582,0.062
1.584,0.064
1.586,0.066
1.588,0.068
1.59,0.07
1.592,0.072
1.594,0.074
1.596,0.076
1.598,0.078
1.6,0.08
1.6,0.04
1.602,0.042
1.604,0.044
1.606,0.046
1.608,0.048
1.61,0.05
1.612,0.052
1.614,0.054
1.616,0.056
1.618,0.058
1.62,0.06
1.622,0.062
1.624,0.064
1.626,0.066
1.628,0.068
1.63,0.07
1.632,0.072
1.634,0.074
1.636,0.076
1.638,0.078
1.64,0.08
1.64,0.04
1.642,0.042
1.644,0.044
1.646,0.046
1.648,0.048
1.65,0.05
1.652,0.052
1.654,0.054
1.656,0.056
1.658,0.058
1.66,0.06
1.662,0.062
1.664,0.064
1.666,0.066
1.668,0.068
1.67,0.07
1.672,0.072
1.674,0.074
1.676,0.076
1.678,0.078
1.68,0.08
1.68,0.04
1.682,0.042
1.684,0.044
1.686,0.046
1.688,0.048
1.69,0.05
1.692,0.052
1.694,0.054
1.696,0.056
1.698,0.058
1.7,0.06
1.702,0.062
1.704,0.064
1.706,0.066
1.708,0.068
1.71,0.07
1.712,0.072
1.714,0.074
1.716,0.076
1.718,0.078
1.72,0.08
1.72,0.04
1.722,0.042
1.724,0.044
1.726,0.046
1.728,0.048
1.73,0.05
1.732,0.052
1.734,0.054
1.736,0.056
1.738,0.058
1.74,0.06
1.742,0.062
1.744,0.064
1.746,0.066
1.748,0.068
1.75,0.07
1.752,0.072
1.754,0.074
1.756,0.076
1.758,0.078
1.76,0.08
1.76,0.04
1.762,0.042
1.764,0.044
1.766,0.046
1.768,0.048
1.77,0.05
1.772,0.052
1.774,0.054
1.776,0.056
1.778,0.058
1.78,0.06
1.782,0.062
1.784,0.064
1.786,0.066
1.788,0.068
1.79,0.07
1.792,0.072
1.794,0.074
1.796,0.076
1.798,0.078
1.8,0.08
1.8,0.04
1.802,0.042
1.804,0.044
1.806,0.046
1.808,0.048
1.81,0.05
1.812,0.052
1.814,0.054
1.816,0.056
1.818,0.058
1.82,0.06
1.822,0.062
1.824,0.064
1.826,0.066
1.828,0.068
1.83,0.07
1.832,0.072
1.834,0.074
1.836,0.076
1.838,0.078
1.84,0.08
1.84,0.04
1.842,0.042
1.844,0.044
1.846,0.046
1.848,0.048
1.85,0.05
1.852,0.052
1.854,0.054
1.856,0.056
1.858,0.058
1.86,0.06
1.862,0.062
1.864,0.064
1.866,0.066
1.868,0.068
1.87,0.07
1.872,0.072
1.874,0.074
1.876,0.076
1.878,0.078
1.88,0.08
1.88,0.04
1.882,0.042
1.884,0.044
1.886,0.046
1.888,0.048
1.89,0.05
1.892,0.052
1.894,0.054
1.896,0.056
1.898,0.058
1.9,0.06
1.902,0.062
1.904,0.064
1.906,0.066
1.908,0.068
1.91,0.07
1.912,0.072
1.914,0.074
1.916,0.076
1.918,0.078
1.92,0.08
1.92,0.04
1.922,0.042
1.924,0.044
1.926,0.046
1.928,0.048
1.93,0.05
1.932,0.052
1.934,0.054
1.936,0.056
1.938,0.058
1.94,0.06
1.942,0.062
1.944,0.064
1.946,0.066
1.948,0.068
1.95,0.07
1.952,0.072
1.954,0.074
1.956,0.076
1.958,0.078
1.96,0.08
1.96,0.04
1.962,0.042
1.964,0.044
1.966,0.046
1.968,0.048
1.97,0.05
1.972,0.052
1.974,0.054
1.976,0.056
1.978,0.058
1.98,0.06
1.982,0.062
1.984,0.064
1.986,0.066
1.988,0.068
1.99,0.07
1.992,0.072
1.994,0.074
1.996,0.076
1.998,0.078
2,0.08
2,0.04
2.002,0.042
2.004,0.044
2.006,0.046
2.008,0.048
2.01,0.05
2.012,0.052
2.014,0.054
2.016,0.056
2.018,0.058
2.02,0.06
2.022,0.062
2.024,0.064
2.026,0.066
2.028,0.068
2.03,0.07
2.032,0.072
2.034,0.074
2.036,0.076
2.038,0.078
2.04,0.08
2.04,0.04
2.042,0.042
2.044,0.044
2.046,0.046
2.048,0.048
2.05,0.05
2.052,0.052
2.054,0.054
2.056,0.056
2.058,0.058
2.06,0.06
2.062,0.062
2.064,0.064
2.066,0.066
2.068,0.068
2.07,0.07
2.072,0.072
2.074,0.074
2.076,0.076
2.078,0.078
2.08,0.08
2.08,0.04
2.082,0.042
2.084,0.044
2.086,0.046
2.088,0.048
2.09,0.05
2.092,0.052
2.094,0.054
2.096,0.056
2.098,0.058
2.1,0.06
2.102,0.062
2.104,0.064
2.106,0.066
2.108,0.068
2.11,0.07
2.112,0.072
2.114,0.074
2.116,0.076
2.118,0.078
2.12,0.08
